year,month,day,hour,holiday,weekend,station,energy
2004,1,15,16,0,0,1,8598
2004,1,15,17,0,0,1,8687
2004,1,15,18,0,0,1,8890
2004,1,15,19,0,0,1,9085
2004,1,15,20,0,0,1,9039
2004,1,15,21,0,0,1,8977
2004,1,15,22,0,0,1,8628
2004,1,15,23,0,0,1,8194
2004,1,15,24,0,0,1,7667
2004,1,16,1,1,0,1,7425
2004,1,16,2,1,0,1,7214
2004,1,16,3,1,0,1,7098
2004,1,16,4,1,0,1,7030
2004,1,16,5,1,0,1,7152
2004,1,16,6,1,0,1,7611
2004,1,16,7,1,0,1,8408
2004,1,16,8,1,0,1,8719
2004,1,16,9,1,0,1,8642
2004,1,16,10,1,0,1,8733
2004,1,16,11,1,0,1,8819
2004,1,16,12,1,0,1,8853
2004,1,16,13,1,0,1,8803
2004,1,16,14,1,0,1,8788
2004,1,16,15,1,0,1,8730
2004,1,16,16,1,0,1,8661
2004,1,16,17,1,0,1,8708
2004,1,16,18,1,0,1,8940
2004,1,16,19,1,0,1,9065
2004,1,16,20,1,0,1,8917
2004,1,16,21,1,0,1,8812
2004,1,16,22,1,0,1,8551
2004,1,16,23,1,0,1,8203
2004,1,16,24,1,0,1,7723
2004,1,17,1,0,1,1,7312
2004,1,17,2,0,1,1,7059
2004,1,17,3,0,1,1,6871
2004,1,17,4,0,1,1,6779
2004,1,17,5,0,1,1,6781
2004,1,17,6,0,1,1,6874
2004,1,17,7,0,1,1,7094
2004,1,17,8,0,1,1,7272
2004,1,17,9,0,1,1,7568
2004,1,17,10,0,1,1,7916
2004,1,17,11,0,1,1,8130
2004,1,17,12,0,1,1,8160
2004,1,17,13,0,1,1,8170
2004,1,17,14,0,1,1,8056
2004,1,17,15,0,1,1,8023
2004,1,17,16,0,1,1,8023
2004,1,17,17,0,1,1,8062
2004,1,17,18,0,1,1,8215
2004,1,17,19,0,1,1,8634
2004,1,17,20,0,1,1,8553
2004,1,17,21,0,1,1,8482
2004,1,17,22,0,1,1,8287
2004,1,17,23,0,1,1,7997
2004,1,17,24,0,1,1,7629
2004,1,18,1,0,1,1,7036
2004,1,18,2,0,1,1,6814
2004,1,18,3,0,1,1,6684
2004,1,18,4,0,1,1,6637
2004,1,18,5,0,1,1,6697
2004,1,18,6,0,1,1,6800
2004,1,18,7,0,1,1,7005
2004,1,18,8,0,1,1,7218
2004,1,18,9,0,1,1,7618
2004,1,18,10,0,1,1,7983
2004,1,18,11,0,1,1,8171
2004,1,18,12,0,1,1,8304
2004,1,18,13,0,1,1,8428
2004,1,18,14,0,1,1,8515
2004,1,18,15,0,1,1,8582
2004,1,18,16,0,1,1,8584
2004,1,18,17,0,1,1,8647
2004,1,18,18,0,1,1,8928
2004,1,18,19,0,1,1,9318
2004,1,18,20,0,1,1,9293
2004,1,18,21,0,1,1,9271
2004,1,18,22,0,1,1,9153
2004,1,18,23,0,1,1,8855
2004,1,18,24,0,1,1,8511
2004,1,19,1,1,0,1,8356
2004,1,19,2,1,0,1,8158
2004,1,19,3,1,0,1,8074
2004,1,19,4,1,0,1,8102
2004,1,19,5,1,0,1,8302
2004,1,19,6,1,0,1,8792
2004,1,19,7,1,0,1,9446
2004,1,19,8,1,0,1,9840
2004,1,19,9,1,0,1,9985
2004,1,19,10,1,0,1,10053
2004,1,19,11,1,0,1,9990
2004,1,19,12,1,0,1,9835
2004,1,19,13,1,0,1,9546
2004,1,19,14,1,0,1,9325
2004,1,19,15,1,0,1,9111
2004,1,19,16,1,0,1,8939
2004,1,19,17,1,0,1,8908
2004,1,19,18,1,0,1,9208
2004,1,19,19,1,0,1,9914
2004,1,19,20,1,0,1,10010
2004,1,19,21,1,0,1,10115
2004,1,19,22,1,0,1,9950
2004,1,19,23,1,0,1,9498
2004,1,19,24,1,0,1,8977
2004,1,20,1,0,0,1,8616
2004,1,20,2,0,0,1,8477
2004,1,20,3,0,0,1,8391
2004,1,20,4,0,0,1,8405
2004,1,20,5,0,0,1,8625
2004,1,20,6,0,0,1,9283
2004,1,20,7,0,0,1,10279
2004,1,20,8,0,0,1,10575
2004,1,20,9,0,0,1,10321
2004,1,20,10,0,0,1,10128
2004,1,20,11,0,0,1,9953
2004,1,20,12,0,0,1,9726
2004,1,20,13,0,0,1,9493
2004,1,20,14,0,0,1,9381
2004,1,20,15,0,0,1,9216
2004,1,20,16,0,0,1,9172
2004,1,20,17,0,0,1,9240
2004,1,20,18,0,0,1,9556
2004,1,20,19,0,0,1,10125
2004,1,20,20,0,0,1,10080
2004,1,20,21,0,0,1,10067
2004,1,20,22,0,0,1,9783
2004,1,20,23,0,0,1,9268
2004,1,20,24,0,0,1,8766
2004,1,21,1,0,0,1,8212
2004,1,21,2,0,0,1,8040
2004,1,21,3,0,0,1,7960
2004,1,21,4,0,0,1,7993
2004,1,21,5,0,0,1,8156
2004,1,21,6,0,0,1,8727
2004,1,21,7,0,0,1,9636
2004,1,21,8,0,0,1,9879
2004,1,21,9,0,0,1,9706
2004,1,21,10,0,0,1,9596
2004,1,21,11,0,0,1,9446
2004,1,21,12,0,0,1,9275
2004,1,21,13,0,0,1,9088
2004,1,21,14,0,0,1,9018
2004,1,21,15,0,0,1,8844
2004,1,21,16,0,0,1,8710
2004,1,21,17,0,0,1,8738
2004,1,21,18,0,0,1,9026
2004,1,21,19,0,0,1,9548
2004,1,21,20,0,0,1,9496
2004,1,21,21,0,0,1,9527
2004,1,21,22,0,0,1,9353
2004,1,21,23,0,0,1,8849
2004,1,21,24,0,0,1,8330
2004,1,22,1,1,0,1,8123
2004,1,22,2,1,0,1,7939
2004,1,22,3,1,0,1,7880
2004,1,22,4,1,0,1,7802
2004,1,22,5,1,0,1,8012
2004,1,22,6,1,0,1,8564
2004,1,22,7,1,0,1,9393
2004,1,22,8,1,0,1,9614
2004,1,22,9,1,0,1,9458
2004,1,22,10,1,0,1,9415
2004,1,22,11,1,0,1,9380
2004,1,22,12,1,0,1,9204
2004,1,22,13,1,0,1,9128
2004,1,22,14,1,0,1,9064
2004,1,22,15,1,0,1,9006
2004,1,22,16,1,0,1,8985
2004,1,22,17,1,0,1,9006
2004,1,22,18,1,0,1,9225
2004,1,22,19,1,0,1,9662
2004,1,22,20,1,0,1,9591
2004,1,22,21,1,0,1,9596
2004,1,22,22,1,0,1,9302
2004,1,22,23,1,0,1,8772
2004,1,22,24,1,0,1,8247
2004,1,23,1,0,0,1,7763
2004,1,23,2,0,0,1,7560
2004,1,23,3,0,0,1,7442
2004,1,23,4,0,0,1,7424
2004,1,23,5,0,0,1,7548
2004,1,23,6,0,0,1,8030
2004,1,23,7,0,0,1,8857
2004,1,23,8,0,0,1,9106
2004,1,23,9,0,0,1,8998
2004,1,23,10,0,0,1,9102
2004,1,23,11,0,0,1,9190
2004,1,23,12,0,0,1,9102
2004,1,23,13,0,0,1,8980
2004,1,23,14,0,0,1,8997
2004,1,23,15,0,0,1,8934
2004,1,23,16,0,0,1,8901
2004,1,23,17,0,0,1,8670
2004,1,23,18,0,0,1,8856
2004,1,23,19,0,0,1,9087
2004,1,23,20,0,0,1,8946
2004,1,23,21,0,0,1,8836
2004,1,23,22,0,0,1,8537
2004,1,23,23,0,0,1,8150
2004,1,23,24,0,0,1,7704
2004,1,24,1,0,1,1,7244
2004,1,24,2,0,1,1,7042
2004,1,24,3,0,1,1,6893
2004,1,24,4,0,1,1,6817
2004,1,24,5,0,1,1,6859
2004,1,24,6,0,1,1,6972
2004,1,24,7,0,1,1,7203
2004,1,24,8,0,1,1,7476
2004,1,24,9,0,1,1,7759
2004,1,24,10,0,1,1,8065
2004,1,24,11,0,1,1,8240
2004,1,24,12,0,1,1,8286
2004,1,24,13,0,1,1,8205
2004,1,24,14,0,1,1,8040
2004,1,24,15,0,1,1,8038
2004,1,24,16,0,1,1,7990
2004,1,24,17,0,1,1,8022
2004,1,24,18,0,1,1,8220
2004,1,24,19,0,1,1,8649
2004,1,24,20,0,1,1,8560
2004,1,24,21,0,1,1,8568
2004,1,24,22,0,1,1,8435
2004,1,24,23,0,1,1,8127
2004,1,24,24,0,1,1,7811
2004,1,25,1,0,1,1,7433
2004,1,25,2,0,1,1,7179
2004,1,25,3,0,1,1,6963
2004,1,25,4,0,1,1,6828
2004,1,25,5,0,1,1,6802
2004,1,25,6,0,1,1,6837
2004,1,25,7,0,1,1,6952
2004,1,25,8,0,1,1,6953
2004,1,25,9,0,1,1,7160
2004,1,25,10,0,1,1,7392
2004,1,25,11,0,1,1,7515
2004,1,25,12,0,1,1,7680
2004,1,25,13,0,1,1,7825
2004,1,25,14,0,1,1,7879
2004,1,25,15,0,1,1,7959
2004,1,25,16,0,1,1,8027
2004,1,25,17,0,1,1,8064
2004,1,25,18,0,1,1,8163
2004,1,25,19,0,1,1,8679
2004,1,25,20,0,1,1,8747
2004,1,25,21,0,1,1,8658
2004,1,25,22,0,1,1,8363
2004,1,25,23,0,1,1,7915
2004,1,25,24,0,1,1,7454
2004,1,26,1,0,0,1,7018
2004,1,26,2,0,0,1,6808
2004,1,26,3,0,0,1,6676
2004,1,26,4,0,0,1,6671
2004,1,26,5,0,0,1,6820
2004,1,26,6,0,0,1,7266
2004,1,26,7,0,0,1,8153
2004,1,26,8,0,0,1,8471
2004,1,26,9,0,0,1,8399
2004,1,26,10,0,0,1,8570
2004,1,26,11,0,0,1,8613
2004,1,26,12,0,0,1,8660
2004,1,26,13,0,0,1,8622
2004,1,26,14,0,0,1,8667
2004,1,26,15,0,0,1,8757
2004,1,26,16,0,0,1,8783
2004,1,26,17,0,0,1,8804
2004,1,26,18,0,0,1,8944
2004,1,26,19,0,0,1,9336
2004,1,26,20,0,0,1,9438
2004,1,26,21,0,0,1,9416
2004,1,26,22,0,0,1,9045
2004,1,26,23,0,0,1,8533
2004,1,26,24,0,0,1,8018
2004,1,27,1,1,0,1,8224
2004,1,27,2,1,0,1,8082
2004,1,27,3,1,0,1,8005
2004,1,27,4,1,0,1,8022
2004,1,27,5,1,0,1,8257
2004,1,27,6,1,0,1,8896
2004,1,27,7,1,0,1,9939
2004,1,27,8,1,0,1,10298
2004,1,27,9,1,0,1,10080
2004,1,27,10,1,0,1,10014
2004,1,27,11,1,0,1,9962
2004,1,27,12,1,0,1,9779
2004,1,27,13,1,0,1,9552
2004,1,27,14,1,0,1,9396
2004,1,27,15,1,0,1,9209
2004,1,27,16,1,0,1,9081
2004,1,27,17,1,0,1,9061
2004,1,27,18,1,0,1,9331
2004,1,27,19,1,0,1,10012
2004,1,27,20,1,0,1,10098
2004,1,27,21,1,0,1,10164
2004,1,27,22,1,0,1,9883
2004,1,27,23,1,0,1,9421
2004,1,27,24,1,0,1,9034
2004,1,28,1,0,0,1,8686
2004,1,28,2,0,0,1,8537
2004,1,28,3,0,0,1,8465
2004,1,28,4,0,0,1,8524
2004,1,28,5,0,0,1,8781
2004,1,28,6,0,0,1,9394
2004,1,28,7,0,0,1,10408
2004,1,28,8,0,0,1,10618
2004,1,28,9,0,0,1,10230
2004,1,28,10,0,0,1,10022
2004,1,28,11,0,0,1,9840
2004,1,28,12,0,0,1,9645
2004,1,28,13,0,0,1,9446
2004,1,28,14,0,0,1,9306
2004,1,28,15,0,0,1,9143
2004,1,28,16,0,0,1,9075
2004,1,28,17,0,0,1,9105
2004,1,28,18,0,0,1,9382
2004,1,28,19,0,0,1,10020
2004,1,28,20,0,0,1,10023
2004,1,28,21,0,0,1,10006
2004,1,28,22,0,0,1,9642
2004,1,28,23,0,0,1,9079
2004,1,28,24,0,0,1,8605
2004,1,29,1,1,0,1,8027
2004,1,29,2,1,0,1,7827
2004,1,29,3,1,0,1,7644
2004,1,29,4,1,0,1,7632
2004,1,29,5,1,0,1,7764
2004,1,29,6,1,0,1,8279
2004,1,29,7,1,0,1,9172
2004,1,29,8,1,0,1,9450
2004,1,29,9,1,0,1,9269
2004,1,29,10,1,0,1,9275
2004,1,29,11,1,0,1,9283
2004,1,29,12,1,0,1,9229
2004,1,29,13,1,0,1,9159
2004,1,29,14,1,0,1,9146
2004,1,29,15,1,0,1,9107
2004,1,29,16,1,0,1,9091
2004,1,29,17,1,0,1,9128
2004,1,29,18,1,0,1,9300
2004,1,29,19,1,0,1,9619
2004,1,29,20,1,0,1,9541
2004,1,29,21,1,0,1,9417
2004,1,29,22,1,0,1,9058
2004,1,29,23,1,0,1,8433
2004,1,29,24,1,0,1,7926
2004,1,30,1,0,0,1,7091
2004,1,30,2,0,0,1,6891
2004,1,30,3,0,0,1,6792
2004,1,30,4,0,0,1,6835
2004,1,30,5,0,0,1,7057
2004,1,30,6,0,0,1,7569
2004,1,30,7,0,0,1,8432
2004,1,30,8,0,0,1,8810
2004,1,30,9,0,0,1,8917
2004,1,30,10,0,0,1,9145
2004,1,30,11,0,0,1,9282
2004,1,30,12,0,0,1,9245
2004,1,30,13,0,0,1,9137
2004,1,30,14,0,0,1,9118
2004,1,30,15,0,0,1,8997
2004,1,30,16,0,0,1,8878
2004,1,30,17,0,0,1,8894
2004,1,30,18,0,0,1,8990
2004,1,30,19,0,0,1,9341
2004,1,30,20,0,0,1,9231
2004,1,30,21,0,0,1,9105
2004,1,30,22,0,0,1,8835
2004,1,30,23,0,0,1,8477
2004,1,30,24,0,0,1,8052
2004,1,31,1,0,1,1,7686
2004,1,31,2,0,1,1,7371
2004,1,31,3,0,1,1,7187
2004,1,31,4,0,1,1,7123
2004,1,31,5,0,1,1,7107
2004,1,31,6,0,1,1,7278
2004,1,31,7,0,1,1,7554
2004,1,31,8,0,1,1,7828
2004,1,31,9,0,1,1,8171
2004,1,31,10,0,1,1,8503
2004,1,31,11,0,1,1,8685
2004,1,31,12,0,1,1,8661
2004,1,31,13,0,1,1,8566
2004,1,31,14,0,1,1,8379
2004,1,31,15,0,1,1,8177
2004,1,31,16,0,1,1,8090
2004,1,31,17,0,1,1,8081
2004,1,31,18,0,1,1,8339
2004,1,31,19,0,1,1,8658
2004,1,31,20,0,1,1,8576
2004,1,31,21,0,1,1,8527
2004,1,31,22,0,1,1,8300
2004,1,31,23,0,1,1,7981
2004,1,31,24,0,1,1,7581
2004,2,1,1,1,1,1,7548
2004,2,1,2,1,1,1,7265
2004,2,1,3,1,1,1,7084
2004,2,1,4,1,1,1,7041
2004,2,1,5,1,1,1,7118
2004,2,1,6,1,1,1,7219
2004,2,1,7,1,1,1,7385
2004,2,1,8,1,1,1,7504
2004,2,1,9,1,1,1,7736
2004,2,1,10,1,1,1,7910
2004,2,1,11,1,1,1,7938
2004,2,1,12,1,1,1,7922
2004,2,1,13,1,1,1,7953
2004,2,1,14,1,1,1,7917
2004,2,1,15,1,1,1,7892
2004,2,1,16,1,1,1,7886
2004,2,1,17,1,1,1,7926
2004,2,1,18,1,1,1,7991
2004,2,1,19,1,1,1,8301
2004,2,1,20,1,1,1,8300
2004,2,1,21,1,1,1,8317
2004,2,1,22,1,1,1,8202
2004,2,1,23,1,1,1,8038
2004,2,1,24,1,1,1,7627
2004,2,2,1,1,0,1,6824
2004,2,2,2,1,0,1,6690
2004,2,2,3,1,0,1,6648
2004,2,2,4,1,0,1,6689
